"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"ATTAWAPISKAT A","52.928","-82.432","ON","15.7","0",NA,"28.8","0","2.7","0","",,NA,"25.9","0",NA,"","7","",,NA,"84.1","13.6","6010400"
"BIG TROUT LAKE A","53.818","-89.897","ON","15.2","0",NA,"26.6","0","2.7","0","",,NA,"122.4","2",NA,"","14","",,NA,"97.1","9.7","6010735"
"BIG TROUT LAKE","53.816","-89.892","ON","15.1","0",NA,"27.1","0","2.2","0","",,NA,"151.6","0",NA,"","16","",,NA,"98.2","9.8","6010740"
"EAR FALLS (AUT)","50.631","-93.221","ON","17.2","3",NA,"31.4","3","4.7","3","",,NA,"64.9","3",NA,"","11","",,NA,"50.0","27.9","6012199"
"FORT SEVERN A","56.019","-87.676","ON","12.7","22",NA,"25.8","22","3.0","22","",,NA,"7.5","22",NA,"","3","",,NA,"47.4","0.0","6012501"
"LANSDOWNE HOUSE A","52.196","-87.934","ON","15.6","0",NA,"29.2","0","1.7","0","",,NA,"66.5","0",NA,"","12","",,NA,"85.6","10.3","6014351"
"LANSDOWNE HOUSE (AUT)","52.196","-87.936","ON","15.4","0",NA,"28.8","0","1.4","0","",,NA,"55.7","0",NA,"","10","",,NA,"88.7","9.1","6014353"
"MUSKRAT DAM","53.441","-91.763","ON","15.5","0",NA,"28.6","0","2.8","0","",,NA,"86.5","2",NA,"","10","",,NA,"91.5","14.6","6015026"
"PEAWANUCK (AUT)","54.983","-85.433","ON","13.8","0",NA,"26.6","0","2.9","0","",,NA,"85.7","0",NA,"","15","",,NA,"139.1","8.7","6016295"
"PEAWANUCK A","54.988","-85.443","ON","13.9","0",NA,"26.7","0","2.8","0","",,NA,"",,NA,"","","",,NA,"137.4","9.1","6016298"
"PICKLE LAKE (AUT)","51.449","-90.218","ON","16.5","0",NA,"29.5","0","3.4","0","",,NA,"64.5","0",NA,"","12","",,NA,"69.5","22.8","6016525"
"PICKLE LAKE A","51.446","-90.214","ON","16.5","0",NA,"29.3","0","3.0","0","",,NA,"0.0","24",NA,"","0","",,NA,"69.0","23.4","6016528"
"RED LAKE A","51.067","-93.793","ON","16.8","0",NA,"31.6","0","1.9","0","",,NA,"",,NA,"","","",,NA,"62.5","26.7","6016971"
"SANDY LAKE A","53.064","-93.344","ON","15.9","0",NA,"27.7","0","3.9","0","",,NA,"109.6","0",NA,"","14","",,NA,"85.3","20.1","6017401"
"BARWICK","48.633","-93.967","ON","17.9","0","0.0","31.5","0","5.0","0","0.0","0",NA,"122.2","0","155.0","0.0","8","","",NA,"36.2","33.9","6020559"
"ATIKOKAN (AUT)","48.761","-91.628","ON","16.5","0",NA,"29.8","0","4.4","0","",,NA,"138.9","0",NA,"","13","",,NA,"66.7","18.9","6020LPQ"
"FORT FRANCES RCS","48.651","-93.439","ON","16.7","0",NA,"30.1","0","4.2","0","",,NA,"154.3","0",NA,"","10","",,NA,"62.6","22.7","6022474"
"MINE CENTRE SOUTHWEST","48.760","-92.623","ON","18.0","0",NA,"31.0","0","5.0","0","0.0","0",NA,"140.8","0",NA,"0.0","9","","",NA,"38.7","38.0","6025205"
"DRYDEN REGIONAL","49.828","-92.744","ON","17.4","0",NA,"29.7","0","6.5","0","",,NA,"74.2","1",NA,"","10","",,NA,"54.3","34.5","6032125"
"KENORA RCS","49.791","-94.378","ON","18.2","0",NA,"30.6","0","8.0","0","",,NA,"110.7","0",NA,"","7","",,NA,"36.9","43.2","6034073"
"KENORA A","49.788","-94.363","ON","17.8","3",NA,"30.0","3","7.9","3","0.0","11",NA,"119.4","0",NA,"","7","",,NA,"36.0","31.3","6034076"
"RAWSON LAKE","49.650","-93.717","ON","17.2","19","-1.1","23.5","19","11.0","18","0.0","19",NA,"0.6","19",NA,"","0","","",NA,"19.1","9.7","6036904"
"RAWSON LAKE (AUT)","49.664","-93.733","ON","17.7","0",NA,"30.4","0","8.0","0","",,NA,"2.6","6",NA,"","1","",,NA,"45.7","34.9","6036907"
"SIOUX LOOKOUT A","50.114","-91.908","ON","16.3","2",NA,"28.9","2","3.2","2","0.0","18",NA,"112.8","0",NA,"","13","",,NA,"67.3","18.0","6037776"
"SIOUX LOOKOUT AIRPORT","50.114","-91.906","ON","16.7","1",NA,"29.5","1","4.2","1","",,NA,"95.9","1",NA,"","12","",,NA,"63.6","25.0","6037800"
"ARMSTRONG (AUT)","50.294","-88.905","ON","14.7","1",NA,"28.3","1","-0.8","1","",,NA,"37.5","1",NA,"","5","",,NA,"103.4","5.2","6040325"
"ARMSTRONG A","50.290","-88.910","ON","15.2","0",NA,"28.4","0","-0.2","0","",,NA,"41.7","1",NA,"","6","",,NA,"92.1","6.4","6040327"
"CAMERON FALLS (AUT)","49.154","-88.345","ON","16.7","0",NA,"28.1","0","5.3","0","",,NA,"51.9","0",NA,"","10","",,NA,"54.8","13.0","6041110"
"CARIBOU ISLAND (AUT)","47.333","-85.833","ON","15.6","16",NA,"22.4","15","10.0","16","",,NA,"34.4","21",NA,"","1","",,NA,"36.4","0.0","6041222"
"GERALDTON A","49.779","-86.939","ON","15.2","0",NA,"27.7","0","0.4","0","0.0","0",NA,"56.8","0",NA,"","12","",,NA,"93.2","7.2","6042717"
"GERALDTON A","49.779","-86.989","ON","15.1","1",NA,"27.7","1","0.4","1","",,NA,"",,NA,"","","",,NA,"93.2","6.5","6042718"
"GERALDTON AIRPORT","49.781","-86.932","ON","15.5","3",NA,"27.8","3","0.6","3","",,NA,"22.7","3",NA,"","6","",,NA,"78.7","7.5","6042719"
"HAZELWOOD","48.467","-89.267","ON","",,NA,"",,"",,"0.0","3",NA,"83.0","3",NA,"0.0","10","","",NA,"","","6043390"
"MARATHON A","48.757","-86.346","ON","13.6","2",NA,"25.0","2","2.8","2","",,NA,"",,NA,"","","",,NA,"127.1","0.4","6044967"
"PUKASKWA (AUT)","48.608","-86.287","ON","14.7","1",NA,"26.4","1","4.4","1","",,NA,"115.8","1",NA,"","10","",,NA,"101.3","1.6","6046768"
"TERRACE BAY AIRPORT","48.816","-87.092","ON","13.9","1",NA,"25.8","1","2.6","1","",,NA,"92.6","1",NA,"","9","",,NA,"121.6","0.0","6048232"
"THUNDER BAY","48.372","-89.322","ON","16.6","0",NA,"28.6","0","4.0","0","",,NA,"73.7","0",NA,"","11","",,NA,"52.8","10.9","6048260"
"THUNDER BAY A","48.372","-89.322","ON","16.6","1",NA,"28.6","1","4.0","1","",,NA,"",,NA,"","","",,NA,"52.8","10.5","6048262"
"THUNDER BAY BURWOOD","48.414","-89.278","ON","17.6","19",NA,"29.0","19","5.0","19","0.0","19",NA,"4.8","19",NA,"0.0","2","","",NA,"14.4","10.0","6048266"
"THUNDER BAY CS","48.369","-89.327","ON","16.2","0",NA,"27.9","0","4.2","0","",,NA,"64.3","0",NA,"","10","",,NA,"63.5","7.9","6048268"
"UPSALA (AUT)","49.033","-90.467","ON","15.4","5",NA,"28.7","5","1.6","5","",,NA,"69.1","5",NA,"","8","",,NA,"74.4","7.9","6049095"
"WELCOME ISLAND (AUT)","48.369","-89.119","ON","16.8","0",NA,"24.6","0","10.2","0","",,NA,"58.4","0",NA,"","7","",,NA,"42.8","5.1","6049443"
"LAKE SUPERIOR PROVINCIAL PARK","47.723","-84.814","ON","14.5","2",NA,"27.1","2","2.9","2","",,NA,"99.2","2",NA,"","7","",,NA,"102.6","0.0","6054425"
"SAULT STE MARIE A","46.485","-84.510","ON","16.6","1",NA,"29.8","1","3.8","1","0.0","5",NA,"42.7","0",NA,"","8","",,NA,"50.8","7.4","6057591"
"SAULT STE. MARIE AIRPORT","46.478","-84.517","ON","17.2","0",NA,"29.0","0","5.5","0","",,NA,"38.4","0",NA,"","7","",,NA,"38.2","13.2","6057593"
"WAWA A","47.967","-84.786","ON","14.7","0",NA,"26.5","0","4.6","0","",,NA,"",,NA,"","","",,NA,"101.4","0.1","6059413"
"KILLARNEY (AUT)","45.967","-81.483","ON","18.5","0",NA,"25.7","0","11.6","0","",,NA,"",,NA,"","","",,NA,"15.3","31.4","605DJ25"
"CHAPLEAU A","47.820","-83.347","ON","15.6","0",NA,"27.8","0","2.6","0","",,NA,"",,NA,"","","",,NA,"79.2","6.1","6061365"
"MASSEY","46.193","-82.025","ON","17.6","0","-0.2","27.5","0","3.5","0","0.0","0",NA,"56.6","0","67.0","0.0","6","","",NA,"35.3","22.6","6065006"
"MONETVILLE 2","46.215","-80.303","ON","18.5","1",NA,"29.0","1","6.0","1","0.0","1",NA,"46.9","1",NA,"0.0","8","","",NA,"19.6","35.2","6065252"
"SUDBURY CLIMATE","46.632","-80.796","ON","17.1","1",NA,"28.2","1","5.4","1","",,NA,"98.3","1",NA,"","6","",,NA,"47.9","19.9","6068145"
"SUDBURY A","46.626","-80.798","ON","17.4","1",NA,"28.2","1","5.7","1","0.0","6",NA,"79.1","0",NA,"","5","",,NA,"37.4","20.6","6068153"
"BONNER LAKE","49.383","-82.124","ON","16.7","0",NA,"29.0","0","3.0","0","0.0","0",NA,"99.2","0",NA,"0.0","12","","",NA,"56.6","15.7","6070QK6"
"EARLTON A","47.695","-79.849","ON","17.0","4",NA,"29.7","4","5.3","4","",,NA,"43.2","4",NA,"","7","",,NA,"42.3","14.1","6072223"
"EARLTON CLIMATE","47.695","-79.849","ON","16.9","0",NA,"30.3","0","5.4","0","",,NA,"65.9","0",NA,"","8","",,NA,"50.5","15.8","6072230"
"KAPUSKASING A","49.412","-82.468","ON","16.5","0",NA,"28.2","0","3.4","0","0.0","0",NA,"65.1","0",NA,"","10","",,NA,"58.9","13.6","6073976"
"KAPUSKASING A","49.412","-82.468","ON","16.5","0",NA,"28.2","0","3.4","0","",,NA,"",,NA,"","","",,NA,"58.9","13.6","6073978"
"KAPUSKASING CDA ON","49.406","-82.444","ON","16.0","4",NA,"27.0","4","2.6","4","",,NA,"63.0","4",NA,"","9","",,NA,"61.3","8.5","6073980"
"KIRKLAND LAKE CS","48.150","-80.000","ON","16.9","0",NA,"28.3","0","5.3","0","",,NA,"",,NA,"","","",,NA,"49.3","16.0","6074211"
"MOOSONEE","51.291","-80.608","ON","16.3","0",NA,"29.3","0","1.4","0","",,NA,"51.3","0",NA,"","8","",,NA,"76.3","25.1","6075420"
"MOOSONEE UA","51.267","-80.650","ON","16.4","12","1.6","29.0","12","2.0","12","0.0","12",NA,"30.0","12",NA,"","7","","",NA,"40.8","11.1","6075425"
"MOOSONEE RCS","51.292","-80.618","ON","16.8","0",NA,"29.6","0","2.8","0","",,NA,"52.6","0",NA,"","8","",,NA,"66.4","28.5","6075435"
"NAGAGAMI (AUT)","49.747","-84.164","ON","15.5","0",NA,"27.6","0","2.9","0","",,NA,"74.5","0",NA,"","13","",,NA,"87.4","9.5","6075543"
"OGOKI POST A","51.659","-85.901","ON","16.4","0",NA,"29.5","0","3.0","0","",,NA,"96.6","0",NA,"","8","",,NA,"63.5","14.0","6075786"
"TIMMINS CLIMATE","48.557","-81.390","ON","15.9","0",NA,"29.6","0","0.8","0","",,NA,"42.7","0",NA,"","12","",,NA,"73.6","9.8","6078282"
"TIMMINS A","48.571","-81.377","ON","15.8","0",NA,"30.1","0","0.4","0","",,NA,"",,NA,"","","",,NA,"78.2","9.1","6078286"
"ALGONQUIN PARK EAST GATE","45.533","-78.267","ON","16.3","0",NA,"28.3","0","2.2","0","",,NA,"",,NA,"","","",,NA,"65.8","11.7","6080192"
"NORTH BAY A","46.364","-79.424","ON","17.4","0",NA,"27.5","0","6.1","0","",,NA,"40.0","1",NA,"","4","",,NA,"40.7","20.7","6085680"
"NORTH BAY AIRPORT","46.375","-79.403","ON","17.2","0",NA,"27.3","0","7.8","0","",,NA,"45.2","0",NA,"","5","",,NA,"42.7","18.3","6085695"
"GORE BAY-MANITOULIN","45.882","-82.567","ON","18.6","0",NA,"27.1","0","6.8","0","",,NA,"48.1","1",NA,"","6","",,NA,"19.0","36.6","6092919"
"GORE BAY CLIMATE","45.883","-82.567","ON","18.7","1",NA,"27.0","1","7.2","1","",,NA,"45.0","1",NA,"","5","",,NA,"17.3","37.7","6092920"
"GREAT DUCK ISLAND (AUT)","45.633","-82.950","ON","18.4","1",NA,"25.9","1","11.1","1","",,NA,"",,NA,"","","",,NA,"13.8","25.4","6093005"
"APPLETON","45.186","-76.113","ON","19.1","0",NA,"30.0","0","7.0","0","0.0","0",NA,"85.2","0",NA,"0.0","8","","",NA,"11.7","44.4","6100285"
"BROCKVILLE CLIMATE","44.635","-75.748","ON","19.1","0",NA,"30.9","0","8.6","0","",,NA,"49.7","0",NA,"","9","",,NA,"12.3","46.3","6100970"
"BROCKVILLE PCC","44.600","-75.667","ON","19.0","2","-1.3","30.0","2","2.0","2","0.0","2",NA,"46.8","2",NA,"0.0","10","","",NA,"21.1","49.8","6100971"
"CHALK RIVER AECL","46.050","-77.367","ON","20.2","13","1.2","31.5","13","7.5","13","0.0","13",NA,"22.2","13",NA,"","6","","",NA,"4.0","43.7","6101335"
"CORNWALL","45.016","-74.749","ON","21.0","0","0.3","34.0","0","10.0","0","0.0","0",NA,"89.8","0","101.0","0.0","9","","",NA,"1.8","95.9","6101874"
"DRUMMOND CENTRE","45.032","-76.253","ON","19.2","0","0.1","29.5","0","6.5","0","0.0","0",NA,"52.4","0","70.0","0.0","9","","",NA,"11.1","48.5","6102J13"
"GRENADIER ISLAND","44.417","-75.850","ON","20.9","0",NA,"31.0","0","12.6","0","",,NA,"",,NA,"","","",,NA,"1.0","89.4","6103024"
"KEMPTVILLE CS","45.000","-75.633","ON","19.3","0",NA,"30.6","0","7.6","0","",,NA,"",,NA,"","","",,NA,"11.6","52.9","6104027"
"KINGSTON CLIMATE","44.223","-76.599","ON","19.9","0",NA,"27.9","0","10.0","0","",,NA,"57.7","0",NA,"","11","",,NA,"4.5","62.8","6104142"
"KINGSTON A","44.226","-76.597","ON","20.0","0",NA,"28.0","0","10.4","0","",,NA,"",,NA,"","","",,NA,"4.1","65.6","6104152"
"LYNDHURST SHAWMERE","44.517","-76.083","ON","20.6","4","0.6","29.5","4","11.5","4","0.0","4",NA,"68.2","4",NA,"","11","","",NA,"0.5","70.5","6104725"
"MOOSE CREEK WELLS","45.251","-74.963","ON","18.0","0",NA,"29.9","0","4.1","0","",,NA,"38.2","0",NA,"","5","",,NA,"28.7","29.3","6105397"
"OMPAH-SEITZ","45.054","-76.784","ON","19.0","2",NA,"29.5","2","8.0","2","0.0","2",NA,"40.2","2",NA,"0.0","9","","",NA,"11.9","41.6","6105762"
"OTTAWA CDA","45.383","-75.717","ON","19.8","8","-0.1","30.0","8","8.0","8","0.0","8",NA,"52.4","8",NA,"","9","","",NA,"3.6","45.3","6105976"
"OTTAWA CDA RCS","45.383","-75.717","ON","19.6","0",NA,"29.7","0","8.5","0","",,NA,"63.9","0",NA,"","8","",,NA,"7.3","58.1","6105978"
